PersonID,Role,TypeOfRecording,Timestamp,ToolCall,Condition
0,Answer,Recording,22.11.2024 19:02:46,null,ECA + Audio
0,System,Recording,22.11.2024 19:02:51,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:02:52,null,ECA + Audio
0,System,Recording,22.11.2024 19:02:57,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:02:58,null,ECA + Audio
0,System,Recording,22.11.2024 19:03:10,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:03:12,null,ECA + Audio
0,User,Recording,22.11.2024 19:03:46,null,ECA + Audio
0,Tool,Recording,22.11.2024 19:03:48,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:03:51,null,ECA + Audio
0,System,Recording,22.11.2024 19:03:59,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:04:01,null,ECA + Audio
0,System,Recording,22.11.2024 19:04:11,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:04:13,null,ECA + Audio
0,System,Recording,22.11.2024 19:19:11,null,ECA + Audio
0,System,Recording,22.11.2024 19:19:11,null,ECA + Audio
0,System,Recording,22.11.2024 19:19:11,null,ECA + Audio
0,System,Recording,22.11.2024 19:19:11,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:19:11,null,ECA + Audio
0,System,Recording,22.11.2024 19:19:20,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:19:20,null,ECA + Audio
0,System,Recording,22.11.2024 19:19:27,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:19:27,null,ECA + Audio
0,System,Recording,22.11.2024 19:19:40,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:19:42,null,ECA + Audio
0,System,Recording,22.11.2024 19:19:51,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:19:52,null,ECA + Audio
0,System,Recording,22.11.2024 19:20:05,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:20:06,null,ECA + Audio
0,User,Recording,22.11.2024 19:20:25,null,ECA + Audio
0,Tool,Recording,22.11.2024 19:20:27,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:20:29,null,ECA + Audio
0,System,Recording,22.11.2024 19:20:37,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:20:39,null,ECA + Audio
0,System,Recording,22.11.2024 19:20:44,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:20:46,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:01,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:01,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:01,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:02,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:34:02,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:05,null,ECA + Audio
